Sl No,                                                                          Prompts
1,"(masterpiece), (best quality), (intricate details), high resolution, visually stunning, sidelighting, deep shadow, dark theme, bokeh, colorful, 1girl, solo, mature female, standing, looking at viewer, facing viewer, exhibitionism, out-of-frame censoring, (dark skin, dark-skinned female), shiny skin, oiled, oiled skin, purple hair, tomboy, short hair, very short hair, swept bangs, yellow eyes, (glowing eyes), parted lips, [muscular], ripped abs, abs, obliques, tall, cleavage, medium breasts, symmetrical breasts, areola slip, no bra, no panties, white shirt, collared shirt, dress shirt, naked shirt, open clothes, open shirt, underboob, stomach, navel"
2,"professional photograph shot on Canon EOS R6, moody lighting, 80mm, demoness, 1 demon girl, evil hair, [sexy evil bodysuit:evil long black dress:20], underboob, natural breasts, demon palace, hell palace, scenery, full body shot, tall girl, slim girl, barefoot, wind, leaves, By art germ, evil pose, evil, evil outfit, demon, (dominant :1), holding a longsword, (evil longsword:1.2), demon skin, evil lighting, (pov from beneath:1), (very detailed sword:1)"
3,"(masterpiece, best quality), extremely detailed, ambient soft lighting, 1girl, solo, standing, gwen \(league of legends\), (from below), blue hair, long hair, twin drills, hair ornament, blue eyes, long eyelashes, thick eyelashes, looking at viewer, smile, white dress, juliet sleeves, crotchless panties, lifted by self, upskirt, cleft of venus"
4,"(masterpiece:1.2), (best quality:1.2), looking at viewer, (light smile:0.8), (lady|girl), (shiny skin:1.2), (depth of field:1.2), cinematic, (cowboy shot), medium breasts, outdoors, night, town, dress, wavy hair, long hair, side bang, fringe, black_theme"
5,"1girl, (small face), happy, cutie pie, (shiny light blue eyes), lips, (long light blue hair), (white Unlined Lace Bodysuit), (bedroom), sidelighting, (masterpiece body), (large areolae), cat ears"
6,"1girl, (small face:1.4), cutie pie, (cocky:1.3), (flirting:1.3), (shiny light blue eyes), lips, (straight long light blue hair), , (bedroom), sidelighting, (sexy lace nightsuit:1.3), (masterpiece body), (large areolae:1.45), cat ears, (sexy lace stockings:1.3), (pussy), spread legs, necklace jewelry, bracelets, armpits"
7," masterpiece, small breasts, fuyuno, blonde hair, purple eyes, medium hair, flat chest, (one side up), ((full armor)), standing in a medieval castle, ((from behind, perfect ass))"
8,"masterpiece, white green hair, best quality, highres, 1girl, looking at viewer, from behind, white bikini, sitting on beach sand, blue sky, beach"
9,"leather jacket, red short dress, big cleavage, strap dress, leg slit, black hair, red eyes, glasses, at a bar, drinking, curly hair"
10,"(1girl, woman, solo, puffy lips, blue eyes, sexy, gorgeous, elegant, (nsfw, naked), long blond hair, smooth body, soft skin, medium breasts), BREAK, white shirt, open clothes, see-through shirt, lace, BREAK, standing, (looking at viewer), BREAK, indoors, morning, BREAK, absurdres, highres, ultra detailed, (masterpiece, best quality, ultra-detailed), (detailed, background), (beautiful detailed face), high contrast, (best illumination, an extremely delicate and beautiful), ((cinematic light)), hyper detail, dramatic light, intricate details"
